created,application_id,ref_type,ref_hash,click_hash,attributed,implicit,device_countrycode,device_brand,device_model,session_user_agent,user_agent,event_uuid,kind,wifi,trans_id,ip_address,device_language
2019-03-10 01:02:01.103,2,1891515180541284343,413320672763648988,,False,False,6333597102633388268,6.538561794435555e+18,7.368185072928857e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 5.0; ASUS_Z00AD Build/LRX21V),,,true,,6646355181387260721,9.0283826551012e+18
2019-03-10 01:15:53.222,2,1891515180541284343,9000168710300328264,,False,False,6333597102633388268,2.208834667126999e+18,4.801466693533143e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 6.0; MotoG3 Build/MPIS24.65-33.1-2-16),,,true,,589886713227299026,9.0283826551012e+18
2019-03-10 01:39:43.610,2,1891515180541284343,7454378412911594437,,False,True,6333597102633388268,2.208834667126999e+18,3.861844014453643e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 9; motorola one Build/PPKS29.68-16-21-2),2eaf538d-96a3-4b90-b3df-f73bc61e8543,open,true,,7119498039597769608,9.0283826551012e+18
2019-03-10 22:38:58.919,2,1891515180541284343,2460839817280870329,,False,False,6333597102633388268,3.083058605577787e+17,9.098443153716766e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G532MT Build/MMB29T),,,true,,3039051595591631471,9.0283826551012e+18
2019-03-10 17:52:44.250,2,1891515180541284343,7124915071262856598,,False,False,6333597102633388268,2.5232459822329236e+18,1.946200395373428e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 5.0.1; LG-H502 Build/LRX21Y),,,true,,7766233397987027039,9.0283826551012e+18
2019-03-10 17:56:44.035,2,1891515180541284343,2204156414763118594,,False,False,6333597102633388268,2.208834667126999e+18,4.801466693533143e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 6.0; MotoG3 Build/MPIS24.65-33.1-2-16),,,true,,355834681198564251,9.0283826551012e+18
2019-03-10 17:37:11.998,2,1891515180541284343,5487018566680760822,,False,False,6333597102633388268,4.371307750970993e+18,7.286156369615041e+17,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 7.0; Lenovo K33b36 Build/NRD90N),,,true,,1992632945768888579,9.0283826551012e+18
2019-03-10 00:27:11.131,2,1891515180541284343,4256346209371278943,,False,True,6333597102633388268,2.208834667126999e+18,8.24021333464396e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 8.0.0; Moto Z2 Play Build/OPSS27.76-12-25-15),78838e65-8a9f-4644-a72a-e3866f6775a5,open,true,,1992632945768888579,9.0283826551012e+18
2019-03-10 21:06:58.817,2,1891515180541284343,1111223549435972175,,False,True,6333597102633388268,3.083058605577787e+17,4.3680809572191094e+18,http-kit/2.0,Dalvik/1.6.0 (Linux; U; Android 4.1.2; GT-I8552B Build/JZO54K),bf5bb82e-c4df-43c3-bc49-30b88373b862,open,true,,5437394128393850342,9.0283826551012e+18
2019-03-10 21:07:31.227,2,1891515180541284343,1111223549435972175,,False,False,6333597102633388268,3.083058605577787e+17,4.3680809572191094e+18,http-kit/2.0,Dalvik/1.6.0 (Linux; U; Android 4.1.2; GT-I8552B Build/JZO54K),,,false,,5437394128393850342,9.0283826551012e+18
2019-03-10 14:39:01.198,2,1891515180541284343,1458925895595591581,,False,False,6333597102633388268,3.083058605577787e+17,2.0664313823771248e+17,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 8.0.0; SM-G570M Build/R16NW),,,true,,7157098323508779212,9.0283826551012e+18
2019-03-10 14:38:05.464,2,1891515180541284343,4012743072911938567,,False,False,6333597102633388268,3.083058605577787e+17,5.960895846746644e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 8.0.0; SM-G935F Build/R16NW),,,true,,1992632945768888579,9.0283826551012e+18
2019-03-10 14:36:55.733,2,1891515180541284343,5944703426070771098,,False,False,6333597102633388268,3.083058605577787e+17,3.2851842674297293e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G928G Build/NRD90M),,,true,,1992632945768888579,9.0283826551012e+18
2019-03-10 14:37:14.814,2,1891515180541284343,4529898202009854876,,False,False,6333597102633388268,3.083058605577787e+17,3.4096141721326387e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 8.0.0; SM-J600GT Build/R16NW),,,true,,1896320433507581307,9.0283826551012e+18
2019-03-10 14:54:02.648,2,1891515180541284343,5129780403184854828,,False,False,6333597102633388268,5.1379920467642125e+17,3.3943467363521823e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 5.0.2; Redmi Note 3 MIUI/77.0.19.0.LHNCNCJ),,,true,,1992632945768888579,9.0283826551012e+18
2019-03-10 14:51:43.261,2,1891515180541284343,5129780403184854828,,False,True,6333597102633388268,5.1379920467642125e+17,3.3943467363521823e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 5.0.2; Redmi Note 3 MIUI/77.0.19.0.LHNCNCJ),0c8f0c41-6ad5-41fd-828c-2f69dc227438,open,true,,1992632945768888579,9.0283826551012e+18
2019-03-10 14:42:22.869,2,1891515180541284343,973455336199876331,,False,False,6333597102633388268,3.083058605577787e+17,5.971837309351268e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-J120H Build/LMY47V),,,true,,589886713227299026,9.0283826551012e+18
2019-03-10 14:42:24.826,2,1891515180541284343,7730514309305555673,,False,True,6333597102633388268,2.208834667126999e+18,7.313748131250193e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 8.1.0; Moto G (5S) Build/OPPS28.65-37-7-2),38d10e79-000a-4b9c-9630-a8f40de526a7,open,true,,4556063204167153999,9.0283826551012e+18
2019-03-10 14:38:57.445,2,1891515180541284343,7698044702868370735,,False,False,6333597102633388268,2.208834667126999e+18,3.0574023248014715e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 8.0.0; moto g(6) play Build/OPP27.91-87),,,false,,2363418050227529263,9.0283826551012e+18
2019-03-12 08:38:23.494,2,1891515180541284343,2900630781739194419,,False,False,6333597102633388268,3.083058605577787e+17,2.8100987846548266e+17,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 8.0.0; SM-A750G Build/R16NW),,,true,,2803608770949018138,9.0283826551012e+18
2019-03-12 05:27:47.344,2,1891515180541284343,9109193904546487875,,False,False,6333597102633388268,2.5232459822329236e+18,3.26222238787072e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 8.0.0; LG-H870I Build/OPR1.170623.032),,,true,,3039051595591631471,9.0283826551012e+18
2019-03-12 12:59:24.316,2,1891515180541284343,7420312591634721335,,False,False,6333597102633388268,3.083058605577787e+17,4.281729328614173e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 7.1.1; SM-J510MN Build/NMF26X),,,true,,9165079536809952386,9.0283826551012e+18
2019-03-12 12:57:59.752,2,1891515180541284343,7249349646978996230,,False,False,6333597102633388268,2.208834667126999e+18,6.642035026802493e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 8.1.0; Moto G (5) Build/OPPS28.85-16-4),,,true,,2403839579048525602,9.0283826551012e+18
2019-03-12 12:58:10.873,2,1891515180541284343,2793262043678231220,,False,False,6333597102633388268,3.083058605577787e+17,8.163782690166159e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 8.0.0; SM-J400M Build/R16NW),,,true,,5266745215796160022,9.0283826551012e+18
2019-03-12 12:57:54.086,2,1891515180541284343,7249349646978996230,,False,True,6333597102633388268,2.208834667126999e+18,6.642035026802493e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 8.1.0; Moto G (5) Build/OPPS28.85-16-4),76123595-ad12-4266-a171-64a4210326b8,open,true,,2403839579048525602,9.0283826551012e+18
